scenario_id,scenario_name,region,maximum_range_km,current_soc_percent,connectors,preferred_connector,minimum_soc_percent,target_soc_percent,safety_factor,soc_step_percent,corridor_radius_km,route_sample_step_km,max_total_detour_km,status,route_feasible,reason,soc_violation_count,charging_stop_count,ac_fallback_stop_count,charging_stop_names,base_route_distance_km,recommended_route_distance_km,total_detour_km,final_soc_percent,minimum_observed_soc_percent,corridor_candidate_count,graph_node_count,graph_edge_count,dp_processed_states,dp_evaluated_transitions,detour_pruned_transitions,compute_routes_requests,compute_route_matrix_requests,compute_route_matrix_elements,total_external_requests,runtime_ms,peak_memory_mb,error_type,error_message
detour-pendek-gorontalo-10,Gorontalo pendek; detour 10 km,Gorontalo,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,10,completed,True,feasible,0,0,0,,162.448,162.448,0.0,38.0235142118863,38.0235142118863,5,5,10,26,130,0,1,4,10,5,1835.432,5.061184,,
detour-pendek-gorontalo-20,Gorontalo pendek; detour 20 km,Gorontalo,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,20,completed,True,feasible,0,0,0,,162.448,162.448,0.0,38.0235142118863,38.0235142118863,5,5,10,26,130,0,1,4,10,5,1737.824,5.032726,,
detour-pendek-gorontalo-30,Gorontalo pendek; detour 30 km,Gorontalo,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,30,completed,True,feasible,0,0,0,,162.448,162.448,0.0,38.0235142118863,38.0235142118863,5,5,10,26,130,0,1,4,10,5,1749.12,5.026077,,
detour-menengah-sulut-10,Sulawesi Utara menengah; detour 10 km,Sulawesi Utara,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,10,completed,True,feasible,0,0,0,,231.321,231.321,0.0,20.22739018087855,20.22739018087855,12,11,49,78,2185,716,1,10,52,11,3635.314,6.676929,,
detour-menengah-sulut-20,Sulawesi Utara menengah; detour 20 km,Sulawesi Utara,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,20,completed,True,feasible,0,0,0,,231.321,231.321,0.0,20.22739018087855,20.22739018087855,12,11,49,102,2341,156,1,10,52,11,3634.356,6.687045,,
detour-menengah-sulut-30,Sulawesi Utara menengah; detour 30 km,Sulawesi Utara,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,30,completed,True,feasible,0,0,0,,231.321,231.321,0.0,20.22739018087855,20.22739018087855,12,11,49,102,2341,0,1,10,52,11,3608.557,6.691734,,
detour-panjang-sulsel-10,Sulawesi Selatan panjang; detour 10 km,Sulawesi Selatan,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,10,completed,True,feasible,0,1,0,SPKLU LAGOTA CAFE,316.726,316.931,0.20499999999998408,23.368475452196385,23.368475452196385,30,30,360,105,1941,59,2,29,401,31,9654.364,9.964925,,
detour-panjang-sulsel-20,Sulawesi Selatan panjang; detour 20 km,Sulawesi Selatan,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,20,completed,True,feasible,0,1,0,SPKLU LAGOTA CAFE,316.726,316.931,0.20499999999998408,23.368475452196385,23.368475452196385,30,30,360,105,1941,0,2,29,401,31,9349.672,9.969337,,
detour-panjang-sulsel-30,Sulawesi Selatan panjang; detour 30 km,Sulawesi Selatan,430,80,AC TYPE 2 | CCS2,CCS2,20,80,0.9,5,10,5,30,completed,True,feasible,0,1,0,SPKLU LAGOTA CAFE,316.726,316.931,0.20499999999998408,23.368475452196385,23.368475452196385,30,30,360,105,1941,0,2,29,401,31,9289.915,9.962258,,
