scenario_id,scenario_name,region,maximum_range_km,current_soc_percent,connector,minimum_soc_percent,target_soc_percent,safety_factor,soc_step_percent,corridor_radius_km,status,route_feasible,reason,soc_violation_count,itinerary_leg_count,charging_stop_count,charging_stop_names,base_route_distance_km,base_route_duration_minutes,recommended_route_distance_km,recommended_route_duration_minutes,total_road_distance_km,total_driving_duration_minutes,total_detour_km,final_soc_percent,minimum_observed_soc_percent,corridor_candidate_count,graph_node_count,graph_edge_count,dp_processed_states,dp_evaluated_transitions,compute_routes_requests,compute_route_matrix_requests,compute_route_matrix_elements,total_external_requests,runtime_ms,peak_memory_mb,error_type,error_message
baseline-sulawesi-selatan,Makassar ke Rantepao,Sulawesi Selatan,300,80,CCS2,20,80,0.9,5,10,completed,True,feasible,0,2,1,SPKLU LAGOTA CAFE,316.726,460.46666666666664,316.931,461.15,316.931,461.16666666666663,0.3417747129959139,20.32888888888889,20.32888888888889,15,16,93,41,425,2,14,105,16,2836.192,3.676091,,
baseline-sulawesi-tengah,Palu ke Moutong,Sulawesi Tengah,300,80,CCS2,20,80,0.9,5,10,completed,False,graph_disconnected,0,0,0,,340.725,458.2,,,,,,,,5,6,5,0,0,1,4,9,5,1193.388,2.065934,,
baseline-sulawesi-tenggara,Kolaka ke Kendari,Sulawesi Tenggara,300,80,CCS2,20,80,0.9,5,10,completed,False,graph_disconnected,0,0,0,,165.927,220.25,,,,,,,,3,4,2,0,0,1,3,6,4,600.65,1.107011,,
baseline-sulawesi-utara,Bintauna ke Manado,Sulawesi Utara,300,80,CCS2,20,80,0.9,5,10,completed,True,feasible,0,2,1,SPKLU PLN ULP INOBONTO,231.321,327.2,231.321,327.2,231.322,327.2166666666667,0.1126813994223852,23.941481481481475,23.941481481481475,6,7,15,52,518,2,6,21,8,1198.271,2.366998,,
baseline-sulawesi-barat,Polewali ke Mamuju,Sulawesi Barat,300,80,CCS2,20,80,0.9,5,10,completed,False,graph_disconnected,0,0,0,,195.172,276.05,,,,,,,,2,4,0,0,0,1,2,6,3,545.792,1.129221,,
baseline-gorontalo,Marisa ke Kota Gorontalo,Gorontalo,300,80,CCS2,20,80,0.9,5,10,completed,True,feasible,0,2,1,SPKLU ULP LIMBOTO,162.448,228.25,158.578,236.05,158.578,236.06666666666666,1.2453202948890691,25.024074074074072,25.024074074074072,3,3,2,13,12,2,2,3,4,624.57,1.525762,,
