Provinsi,Kota/Kabupaten,Lokasi SPKLU,Alamat,Latitude,Longitude,google maps,Jenis Konektor
Sulawesi Selatan,Wajo,SPKLU PLN ULP SENGKANG,"Kantor PLN ULP Sengkang, Lapongkoda, Kabupaten Wajo, Sulawesi Selatan",-4.136264433,120.0323963,https://maps.app.goo.gl/jsj1EyUFrM3HNMKr6,AC TYPE 2
Sulawesi Selatan,Sidereng Rappang,SPKLU PLN ULP PANGSID,"JL.  Bau Massepe No.05, Kec. Maritengngae, Kab. Sidenreng
Rappang, Sulawesi Selatan",-3.926285634,119.8011862,https://maps.app.goo.gl/xcgkZhXukcpzGzTK7,"CCS2, CHADEMO"
Sulawesi Selatan,Sidereng Rappang,SPKLU PLN ULP RAPPANG,"Jl. Sultan Hasanuddin No.2, Rappang, Sulawesi Selatan, Kabupaten Sidenreng Rappang, Sulawesi Selatan 91651",-3.843845616,119.8173261,https://maps.app.goo.gl/2aoTvT2MqSr5M14G7,AC TYPE 2
Sulawesi Selatan,Makassar,SPKLU PLN ULP Mattoanging,"Jl. DR. Ratulangi, Mangkura",-5.148463607,119.4158186,https://maps.app.goo.gl/XF7u9beAgicVT9Ts9,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Selatan,Makassar,SPKLU PLN UP3 Makassar Selatan,"Jl Letjen Hertasning No. 99, Tamalate, Rappocini, Bonto Makkio, Makassar, Sulawesi Selatan",-5.164291673,119.4453696,https://maps.app.goo.gl/zKeCAokp6qmxw64V6,"AC TYPE 2, CCS2"
Sulawesi Selatan,Makassar,KANTOR GUBERNUR SULAWESI SELATAN,"Jl. Urip Sumoharjo No.269, Panaikang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",-5.138111292,119.4524531,https://maps.app.goo.gl/HMWCJ6oPFsPL9FkQ7,"CCS2, CHADEMO"
Sulawesi Selatan,Makassar,SPKLU BALAIKOTA MAKASSAR,"Jl. Ahmad Yani No.2, Kota Makassar, Sulawesi Selatan 90171",-5.133059128,119.4080986,https://maps.app.goo.gl/PJy9AHnejKwkEviM9,CCS2
Sulawesi Selatan,Makassar,SPKLU PLN ULP DAYA,"Jl. Batara Bira No.2, Pai, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90243",-5.093264165,119.5121205,https://maps.app.goo.gl/UgGbeVjrKZ2AXCHE9,CCS2
Sulawesi Selatan,Makassar,SPKLU PLN ULP PANAKKUKANG,"Jl. Letjen Hertasning, Tidung, Kec. Rappocini, Kota Makassar",-5.164911624,119.4464461,https://maps.app.goo.gl/SnTEh1RkcMDeHmJU8,AC TYPE 2
Sulawesi Selatan,Makassar,SPKLU PLN UP3 Makassar Utara,"Jl Latimojong No. 6, Gaddong, Kota Makassar, Sulawesi Selatan",-5.132067853453903,119.41913382207073,https://maps.app.goo.gl/umkZjnzg2NpcErmC7,AC TYPE 2
Sulawesi Selatan,Makassar,SPKLU TRANS STUDIO MALL MAKASSAR,"JL. Metro Tanjung Bunga, Maccini Sombala, Kec Tamalate, Kota Makassar",-5.158198773,119.3942151,https://maps.app.goo.gl/TQ5mxYs1r5ve8HEZ6,"AC TYPE 2, CCS2"
Sulawesi Selatan,Makassar,SPKLU UID SULSELRABAR,"Jl. Letjend Hertasning No. Blok B, Pandang, Kec. Panakkukang, Kota Makassar",-5.166552283,119.4479639,https://maps.app.goo.gl/85eyCEbRKbvfAdNx5,CCS2
Sulawesi Selatan,Makassar,Hyundai Nipah Mall (Khusus Kendaraan Hyundai),"Panaikang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",-5.139376449,119.4497145,https://maps.app.goo.gl/c12Ki2Gmq2BCCEb38,AC TYPE 2
Sulawesi Selatan,Makassar,Hyundai Pettarani (Khusus Kendaraan Hyundai),"Makassar, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90231",-5.155643758,119.4374613,https://maps.app.goo.gl/wFa4zKXvXBGtHj519,AC TYPE 2
Sulawesi Selatan,Makassar,Hyundai Urip Sumoharjo (Khusus Kendaraan Hyundai),"Jl. Urip Sumoharjo, Sinrijala, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232",-5.136149319,119.436682,https://maps.app.goo.gl/tto8fTW41BcAsEpP8,AC TYPE 2
Sulawesi Selatan,Makassar,(WULING) Kumala Makassar,"Jl. A. P. Pettarani No.98 B, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",-5.157652086,119.436403,https://maps.app.goo.gl/3RsJw97FAjWwrs5i9,GB/T
Sulawesi Selatan,Makassar,(WULING) Kumala TSM Makassar,"Jl. Metro Tj. Bunga, Maccini Sombala, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",-5.159233398,119.3942174,https://maps.app.goo.gl/kHhJwhfj6dqqyvM56,GB/T
Sulawesi Selatan,Makassar,(WULING) Kumala Alauddin,"Jl. Sultan Alauddin No.4-8, Pa'baeng-Baeng, Tamalate, Kota Makassar, Sulawesi Selatan 90223",-5.167706264,119.4200976,https://maps.app.goo.gl/3796wqRg9Ka23Lcq6,GB/T
Sulawesi Selatan,Makassar,Kalla Toyota Alauddin,Jl. Sultan Alauddin No 76,-5.180467192,119.4399276,https://maps.app.goo.gl/uW9bciZtpegwxWVF8,AC TYPE 2
Sulawesi Selatan,Makassar,Kalla Toyota HOS Cokroaminoto,"Jl. HOS Cokroaminoto 27, Makasar 90174",-5.130227438,119.4133716,https://maps.app.goo.gl/C51cw1cH2pNjcn2J9,AC TYPE 2
Sulawesi Selatan,Makassar,Kalla Toyota Urip Sumoharjo,"Jl. Urip Sumoharjo No.227, Makasar 90232",-5.137107273,119.4392395,https://maps.app.goo.gl/MEnTGPCVSAz488No7,AC TYPE 2
Sulawesi Selatan,Makassar,(BLUECHARGE) NIPAH MALL MAKASSAR,"Jl. Urip Sumoharjo No.23C, Panaikang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",-5.139089925,119.4498864,https://maps.app.goo.gl/JhiuEHE95aFqQKRx8,AC TYPE 2
Sulawesi Selatan,Makassar,(BLUECHARGE) WISMA KALLA MAKASSAR,"Jl. DR. Ratulangi No.8, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90114",-5.149318239,119.415114,https://maps.app.goo.gl/xfXEV6svzfPzXnsG6,AC TYPE 2
Sulawesi Selatan,Makassar,(BLUECHARGE) MALL RATU INDAH MAKASSAR,"Jl. Lanto Dg. Pasewang No.10, Mangkura, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90113",-5.153183238,119.4175613,https://maps.app.goo.gl/HTK5SUoM1Cwmn9XNA,AC TYPE 2
Sulawesi Selatan,Makassar,(VOLTRON) BYD Haka Auto Karebosi,"Jl. Ahmad Yani No.15, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90174",-5.13265988,119.4091116,https://maps.app.goo.gl/wEWFc9b1FCHUXfNw5,CCS2
Sulawesi Selatan,Makassar,(Terra Charge) Delft Apartment,"Jalan Sunset Boulevard Blok 5B/16 Citraland City CPI, Kel. Maccini Sombala",-5.148176593,119.4027844,https://maps.app.goo.gl/kAspwVYErPL6uKY6A,AC TYPE 2
Sulawesi Selatan,Makassar,(Terra Charge) UC Makassar | Ciputra School of Business,"Kawasan CitraLand City CPI, Jalan Sunset Boulevard, Kota Makassar, Sulawesi Selatan 90224",-5.149066177,119.3949186,https://maps.app.goo.gl/uxDCd8tWoJrKY6vF7,AC TYPE 2
Sulawesi Selatan,Makassar,(Terra Charge) Grand Asia Hotel Makassar,"Jl. Boulevard No.10, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",-5.154369337,119.4380297,https://maps.app.goo.gl/vL7VoBTWazQySxgE6,AC TYPE 2
Sulawesi Selatan,Makassar,PT PLN (Persero) ULP Karebosi,"Jl. Ahmad Yani No.27, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90171",-5.132503877,119.4107907,https://maps.app.goo.gl/eHZucMEsBqqEqMvA9,CCS2
Sulawesi Tengah,Banggai,SPKLU PLN ULP TOILI,"Jl. Tadulako No.19, Tirtasari, Kec. Toili, Kabupaten Banggai, Sulawesi Tengah 94765",-1.473868292,122.3276065,https://maps.app.goo.gl/rBztXaVEshXrqxMeA,AC TYPE 2
Sulawesi Tengah,Donggala,SPKLU PLN ULP DONGGALA,"Jl. Lorong PLN, Gn. Bale, Kabupaten Donggala, Sulawesi Tengah",-0.6718642483,119.7466789,https://maps.app.goo.gl/i9QuH4T7Q5Y8fZCk9,CCS2
Sulawesi Tengah,Palu,SPKLU PLN UP3 PALU,"Jl RA Kartini No 26 Palu, Sulawesi Tengah",-0.9015535604,119.8788257,https://maps.app.goo.gl/GB8Z2v5tPtfVQWcXA,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Tengah,Palu,KANTOR GUBERNUR SULAWESI TENGAH,"Jl. Sam Ratulangi No.101, Kota Palu, Sulawesi Tengah",-0.8910509961,119.871691,https://maps.app.goo.gl/wVceoZa77Ln7Szah9,"CCS2, CHADEMO"
Sulawesi Tengah,Palu,SPKLU PLN ULP KAMONJI,"Jl. Munif Rahman I, Silae, Kota Palu, Sulawesi Tengah",-0.8827668982,119.8359431,https://maps.app.goo.gl/knWfocVChRmtWwMi7,AC TYPE 2
Sulawesi Tengah,Palu,SPKLU PLN ULP TAWAELI,"Jl. Tolitoli - Palu, Panau, Kec. Tawaeli, Kota Palu, Sulawesi Tengah 94352",-0.7317908117,119.8636176,https://maps.app.goo.gl/qBLDyKEWoUQGw8k18,AC TYPE 2
Sulawesi Tengah,Palu,Hyundai Palu (Khusus Kendaraan Hyundai),"Jl. Yos Sudarso No.02, Talise, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118",-0.8733469244,119.8748073,https://maps.app.goo.gl/53eCdZ9mujDr2eBt9,AC TYPE 2
Sulawesi Tengah,Palu,(WULING) Kumala Palu,"Jl. Soekarno Hatta, kel. Tondo, kec. Mantikulore, kota Palu",-0.8453324513,119.8913164,https://maps.app.goo.gl/GiBmwJsK6icdkHZE8,GB/T
Sulawesi Tengah,Palu,Kalla Toyota Martadinata,"Jl. R.E Martadinata 45, Palu , Central Sulawesi",-0.8603133407,119.8820432,https://maps.app.goo.gl/dNpdSKJ7Xeq8pj5n9,AC TYPE 2
Sulawesi Tengah,Palu,SPKLU PLN KANTOR ULP PALU KOTA,"Jl. Sulawesi, Lolu Utara, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94112",-0.9002673996,119.8722074,https://maps.app.goo.gl/NbowWQYsonN9q1Za9,CCS2
Sulawesi Tengah,Morowali Utara,SPKLU PLN ULP KOLONEDALE,"Jl. Trans Sulawesi, Desa Temporal Kec. Tompira, Kabupaten Morowali Utara, Sulawesi Tengah 94971",-2.08032863,121.3812757,https://maps.app.goo.gl/Ztye7bd1Qq3ajKjD9,AC TYPE 2
Sulawesi Tengah,Parigi Moutong,SPKLU PLN ULP PARIGI (KASIMBAR),"Jl Trans Sulawesi, Kasimbar, Kabupaten Parigi Moutong, Sulawesi Tengah",-0.1335299388,120.0346943,https://maps.app.goo.gl/J2qB86U5jzijCvCM6,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Tengah,Parigi Moutong,SPKLU PLN ULP MOUTONG,"Jl. Trans Sulawesi Kec. Moutong, Kab. Parigi Moutong, Sulawesi Tengah",0.4651606936,121.2261387,https://maps.app.goo.gl/y5wLjSmQ8D1qnJdVA,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Tengah,Parigi Moutong,SPKLU PLN ULP PARIGI,"Jl. PLN, Maesa, Kec. Parigi, Kabupaten Parigi Moutong, Sulawesi Tengah 94471",-0.8160996617,120.1737003,https://maps.app.goo.gl/EEhVZo3YPKPPbX5z6,AC TYPE 2
Sulawesi Tengah,Parigi Moutong,SPKLU PLN ULP KOTARAYA,"Jl. Jambu, Kotaraya, Mepanga, Kabupaten Parigi Moutong, Sulawesi Tengah 94479",0.5459823228,120.7263691,https://maps.app.goo.gl/sF6WPR1cuw3NRwQx6,AC TYPE 2
Sulawesi Tengah,Parigi Moutong,SPKLU PLN KANTOR JAGA TINOMBO,"Jl. Lombok, Tinombo, Parigi Moutong, Sulawesi Tengah 94475",0.3888942,120.2831657,https://maps.app.goo.gl/4Tu926PNP18KtcKJ8,AC TYPE 2
Sulawesi Tengah,Poso,SPKLU PLN ULP POSO,"Jl. Gatot Subroto, Kasintuwu, Kec. Poso Kota Utara, Kabupaten Poso, Sulawesi Tengah 94611",-1.384810354,120.7593532,https://maps.app.goo.gl/aKnwHNbhG6q9QK497,AC TYPE 2
Sulawesi Tengah,Poso,SPKLU PLN ULP TENTENA,"Jl. Jendral Sudirman, Tentena, Pamona Pusalemba, Kabupaten Poso, Sulawesi Tengah 94663",-1.755087452,120.649182,https://maps.app.goo.gl/w8tAQvHnddrsrRYYA,AC TYPE 2
Sulawesi Tengah,Toli Toli,SPKLU PLN UP3 TOLITOLI,"Jl. Mawar, Panasakan, Kec. Baolan, Kabupaten Toli-Toli, Sulawesi Tengah 94512",1.050122304,120.8167435,https://maps.app.goo.gl/utUHvY8RY8rboSvS8,AC TYPE 2
Sulawesi Tengah,Toli Toli,SPKLU PLN ULP TOLITOLI 2,"Panasakan, Kabupaten Toli-Toli, Sulawesi Tengah",1.050122304,120.8167435,https://maps.app.goo.gl/utUHvY8RY8rboSvS8,AC TYPE 2
Sulawesi Tengah,Toli Toli,SPKLU PLN ULP BANGKIR,"Jl, Tolitoli - Palu, Soni, Kec. Dampal Sel., Kabupaten Toli-Toli, Sulawesi Tengah 94554",0.7639528353,120.1956667,https://maps.app.goo.gl/AGpHXMRgbCLAh3577,AC TYPE 2
Sulawesi Tengah,Buol,SPKLU PLN KANTOR ULP LEOK,"Jl. Sedap Malam, Leok I, Kabupaten Buol, Sulawesi Tengah",1.186312143,121.41728,https://maps.app.goo.gl/6bJ1yjwcAM736h8v9,AC TYPE 2
Sulawesi Tenggara,Bau-Bau,SPKLU PLN ULP BAUBAU KOTA,"Jl. Jenderal Sudirman No.62, Tomba, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717",-5.457069271,122.6095122,https://maps.app.goo.gl/D6y8JesYyjVYZfAc6,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Tenggara,Bau-Bau,(WULING) Kumala Baubau,"Jl. Betoambari No. 117-118 Bonebone, Batupoaru, Kota Baubau, Sulawesi Tenggara 93714",-5.467571888,122.591823,https://maps.app.goo.gl/sFJA1tPuE3LjN8oz9,GB/T
Sulawesi Tenggara,Bau-Bau,SPKLU BANDARA BETOAMBARI,"Jl. Dayanu Ikhsanuddin, Katobengke, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721",-5.487707944,122.5699648,https://maps.app.goo.gl/TNyW7JifikJGgbCJ7,AC TYPE 2
Sulawesi Tenggara,Kendari,Hyundai Kendari (Khusus Kendaraan Hyundai),"2G4M+2M6, Anduonohu, Kec. Poasia, Kota Kendari, Sulawesi Tenggara 93231",-3.99494002,122.5341403,https://maps.app.goo.gl/wG2UGFxpcLXhwEtJ7,AC TYPE 2
Sulawesi Tenggara,Kendari,SPKLU PLN ULP Wua Wua,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",-4.022762724,122.5028737,https://maps.app.goo.gl/HsuTSHnVxizbjTUi7,"CCS2, CHADEMO"
