Provinsi,Kota/Kabupaten,Lokasi SPKLU,Alamat,Latitude,Longitude,google maps,Jenis Konektor
Sulawesi Utara,Manado,SPKLU PLN UIW Suluttenggo,"Jl. Bethesda No. 32 (Sario), Manado, Sulawesi Utara",1.463516944,124.8331005,https://maps.app.goo.gl/UF3VdKqqigEYkzSG8,AC TYPE 2
Sulawesi Utara,Manado,SPKLU PLN Kawasan Megamas Manado,"Jl. Laksda John Lie, Titiwungen Sel., Kec. Sario, Sulawesi Utara",1.486355344,124.8338777,https://maps.app.goo.gl/QdYT74ZhBJnFwFYg8,"AC TYPE 2, CCS2, CHADEMO"
Sulawesi Utara,Manado,SPKLU PLN ULP MANADO UTARA,"Jl. Maesa No.58, Paal Dua, Kec. Paal Dua, Kota Manado, Sulawesi Utara",1.485861963,124.8650862,https://maps.app.goo.gl/jv54JExZmwxFBEUG9,AC TYPE 2
Sulawesi Utara,Manado,SPKLU PLN ULP MANADO SELATAN,"Jl. Ahmad Yani, Sario Utara, Kec. Sario, Kota Manado, Sulawesi Utara",1.471838151,124.8349228,https://maps.app.goo.gl/zykRdVqsWhHt5yFg6,AC TYPE 2
Sulawesi Utara,Manado,SPKLU KANTOR PLN UP3 MANADO,"Jl. A Yani No. 32 (Sario), Manado, Sulawesi Utara 95114",1.471838151,124.8349228,https://maps.app.goo.gl/zykRdVqsWhHt5yFg6,CCS2
Sulawesi Utara,Manado,SPKLU PLN KANTOR ULP PANIKI,"Jl. Durian Raya No.03, Paniki Dua, Kec. Mapanget, Kota Manado",1.513131023,124.9199011,https://maps.app.goo.gl/3A6sNcW7SxwemPkv7,AC TYPE 2
Sulawesi Utara,Manado,SPKLU PLN UID SULUTTENGGO 2,"JI. Bethesda No.32, Ranotana, Kec. Sario, Kota Manado, Sulawesi Utara",1.463407346,124.8329037,https://maps.app.goo.gl/8DftRCknBigQZYya9,CCS2
Sulawesi Utara,Manado,SPKLU MANTOS 3,"Jl. Pierre Tendean, Wenang Utara, Kec. Sario, Kota Manado, Sulawesi Utara",1.470130287,124.8311889,https://maps.app.goo.gl/QYbrJd7apN3JmHPL8,CCS2
Sulawesi Utara,Manado,Hyundai Manado (Khusus Kendaraan Hyundai),"Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara",1.490314972,124.8402135,https://maps.app.goo.gl/rZr7smH2Z2ZMLYHW8,AC TYPE 2
Sulawesi Utara,Manado,(WULING) Kumala Manado,"Jl. Ringroad 1,Kawasan Pergudangan Business 8 Ruko No. 63, Kel. Paal IV, Kec. Tikala, Kota Manado",1.455365496,124.8671693,https://maps.app.goo.gl/KDd38kSYHqVs16YK6,GB/T
Sulawesi Utara,Manado,(WULING) Kumala Malalayang,"Jl. Wolter Monginsidi, Malalayang, Kota Manado, Sulawesi Utara 95163",1.457375754,124.8065327,https://maps.app.goo.gl/egCvtQ1G3jTFU1WV7,GB/T
Sulawesi Utara,Manado,Hasjrat Toyota Manado Tendean,"Jl. Piere Tendean Kelurahan Sario Utara Lingkungan III Kecamatan Sario, Kota Manado",1.472831684,124.8327995,https://maps.app.goo.gl/UmV49cCnJrHEeXEWA,AC TYPE 2
Sulawesi Utara,Manado,SPKLU PLN IT CENTER MANADO,"Jl. Piere Tendean, Wenang Utara, Kec. Wenang, Kota Manado, Sulawesi Utara 95111",1.486726262,124.8371441,https://maps.app.goo.gl/ZvXoqGjFYnkiTo5n8,AC TYPE 2
Sulawesi Utara,Manado,SPKLU PLN FRESHMART PANIKI,"Jl. A.A. Maramis, Paniki Bawah, Kec. Mapanget, Kota Manado, Sulawesi Utara",1.509092634,124.9085841,https://maps.app.goo.gl/C8mCU5n1kZ9gFogf6,AC TYPE 2
Sulawesi Utara,Minahasa,SPKLU PLN NUSANTARA POWER,"Jl. Stadion Maesa, Kembuan, Kec. Tondano Utara, Kabupaten Minahasa, Sulawesi Utara",1.312359432,124.9157199,https://maps.app.goo.gl/57VzMbfdPL7MrQLf7,AC TYPE 2
Sulawesi Utara,Minahasa,SPKLU KANTOR PLN ULP TONDANO,"Jl. Tondanon Kakas, Liningaan, Tondano Timur, Ranowangko, Minahasa, Kabupaten Minahasa, Sulawesi Utara",1.301445499,124.9131681,https://maps.app.goo.gl/wVMt2vxfXjTmPgiY6,AC TYPE 2
Sulawesi Utara,Minahasa,SPKLU PLN KANTOR ULP KAWANGKOAN,"Jl. Ps Kawangkoan, Sendangan, Kawangkoan Utara, Kabupaten Minahasa, Sulawesi Utara",1.202273015,124.7876514,https://maps.app.goo.gl/7jzpci8h9E32Qquu9,AC TYPE 2
Sulawesi Utara,Minahasa Selatan,SPKLU PLN ULP AMURANG,"Jl. Amurang Ratahan, Uwuran Dua, Kec. Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara",1.182302173,124.5780472,https://maps.app.goo.gl/WVuW75pqcGAqLRXC7,AC TYPE 2
